Fecha_Hora,Escenario,Dispositivo,Conexion,VPN,Posicion_Esperada,Tipo_Lectura,Distancia_Real_m,Error_Horizontal_m,Latitud,Longitud,Precision_m,Tiempo_Geo_ms,Tiempo_RTT_ms,Tiempo_Backend_ms,Distancia_App_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
2026-08-05T18:00:00Z,E4,POCO X6 Pro 5G (Android),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),2,4.76,-0.288345,-79.213255,7.93,877.89,4593.65,134.28,6.17,10,Aceptada,Sí,
2026-08-05T22:53:00Z,E6,Acer Aspire A515-57 (Windows),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),11,6.56,-0.288443,-79.213243,107.03,5.09,591.57,152.19,4.78,10,Aceptada,No,
2026-08-06T00:13:00Z,E6,POCO X6 Pro 5G (Android),Datos móviles,No,Fuera,Cached Fix (maximumAge=300000),11,4.19,-0.288277,-79.213323,12.22,4.5,351.19,134.13,13.78,10,Rechazada,Sí,
2026-08-05T10:39:00Z,E2,Acer Aspire A515-57 (Windows),Datos móviles,No,Dentro,Fresh Fix (maximumAge=0),2,17.22,-0.288399,-79.213199,101.54,3919.75,591.67,133.15,0.1,10,Aceptada,Sí,
2026-08-05T08:34:00Z,E1,Acer Aspire A515-57 (Windows),Wi-Fi,No,Dentro,Fresh Fix (maximumAge=0),9,15.33,-0.288587,-79.213013,104.93,3158.57,185.85,131.33,21.03,10,Rechazada,No,
2026-08-05T20:40:00Z,E5,POCO X6 Pro 5G (Android),Wi-Fi,No,Fuera,Fresh Fix (maximumAge=0),11,4.33,-0.288524,-79.213324,12.6,1233.81,216.83,122.95,13.88,10,Rechazada,Sí,
2026-08-05T17:43:00Z,E4,POCO X6 Pro 5G (Android),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),2,15.96,-0.288399,-79.213199,9.66,775.79,4888.65,116.12,0.1,10,Aceptada,Sí,
2026-08-05T18:28:00Z,E4,POCO X6 Pro 5G (Android),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),9,17.49,-0.288401,-79.213201,8.74,1576.78,4500.81,159.45,0.1,10,Aceptada,Sí,
2026-08-06T02:12:00Z,E7,POCO X6 Pro 5G (Android),Wi-Fi,Sí,Fuera,Fresh Fix (maximumAge=0),11,2.53,-0.288323,-79.213277,9.55,1573.11,2318.01,163.43,8.61,10,Aceptada,No,
2026-08-05T16:22:00Z,E4,Acer Aspire A515-57 (Windows),Datos móviles,Sí,Dentro,Fresh Fix (maximumAge=0),2,9.48,-0.288401,-79.213201,92.3,2526.69,5219.79,152.51,0.1,10,Aceptada,Sí,
