Fecha_Hora,Escenario,Conexion,VPN,Posicion_Esperada,Latitud,Longitud,Precision_m,Tiempo_Obtencion_ms,Tiempo_Consulta_Config_ms,Distancia_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
"2026-08-02T19:44:44.336Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288401"",""-79.213253"",""99.00"",""3564.50"",""289.40"",""1.94"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:45:27.222Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288417"",""-79.213263"",""100.00"",""3256.10"",""391.10"",""1.96"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:45:44.756Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288361"",""-79.213253"",""100.00"",""3343.00"",""281.60"",""4.85"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:45:48.409Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288361"",""-79.213253"",""100.00"",""152.60"",""284.10"",""4.85"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:45:53.973Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288361"",""-79.213253"",""100.00"",""103.30"",""279.80"",""4.85"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:01.142Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288363"",""-79.213271"",""99.00"",""3468.10"",""284.10"",""4.23"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:05.995Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288363"",""-79.213271"",""99.00"",""135.30"",""280.10"",""4.23"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:07.389Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288363"",""-79.213271"",""99.00"",""148.70"",""280.40"",""4.23"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:08.953Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288363"",""-79.213271"",""99.00"",""141.90"",""285.40"",""4.23"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:10.945Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288363"",""-79.213271"",""99.00"",""119.60"",""284.80"",""4.23"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:15.672Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288352"",""-79.213265"",""99.00"",""32.40"",""280.90"",""5.51"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:15.858Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288352"",""-79.213265"",""99.00"",""2197.40"",""467.20"",""5.51"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:17.959Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288352"",""-79.213265"",""99.00"",""129.20"",""284.70"",""5.51"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:23.402Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288352"",""-79.213265"",""99.00"",""163.80"",""286.10"",""5.51"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:25.009Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288352"",""-79.213265"",""99.00"",""126.90"",""279.00"",""5.51"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:29.818Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288343"",""-79.213255"",""99.00"",""3364.00"",""285.60"",""6.62"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:30.096Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288343"",""-79.213255"",""99.00"",""479.00"",""562.80"",""6.62"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:30.280Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288343"",""-79.213255"",""99.00"",""1697.80"",""747.10"",""6.62"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:30.490Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288343"",""-79.213255"",""99.00"",""148.80"",""550.80"",""6.62"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T19:46:32.189Z,""E1"",""Wi-Fi"",""No"",""Dentro"",""-0.288343"",""-79.213255"",""99.00"",""122.40"",""200.50"",""6.62"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:24.587Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""2156.90"",""900.90"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:25.261Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""1323.50"",""1575.20"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:25.775Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""164.80"",""1908.80"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:26.392Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""155.20"",""1954.00"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:26.839Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""168.30"",""2086.90"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:27.216Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""152.80"",""1946.70"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:27.558Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""193.20"",""1510.60"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:28.086Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""187.20"",""1525.00"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:29.756Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""168.00"",""2387.70"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:30.475Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""197.80"",""2836.30"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:31.192Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""105.60"",""3400.50"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:31.909Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""177.70"",""3126.70"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:32.631Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288462"",""-79.213252"",""99.00"",""164.30"",""2346.50"",""1.52"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:39.016Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""3926.60"",""473.90"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:39.345Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""2243.30"",""803.20"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:39.793Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""15.20"",""1250.80"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:40.355Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""3157.00"",""1812.30"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:41.037Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""3395.80"",""2495.00"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:41.644Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""153.10"",""578.10"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:02:42.984Z,""E2"",""Datos móviles"",""No"",""Dentro"",""-0.288459"",""-79.213253"",""99.00"",""142.90"",""1079.70"",""1.71"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:03.180Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""2841.00"",""578.60"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:05.473Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""150.30"",""890.30"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:06.348Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""115.10"",""1109.70"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:06.913Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""134.60"",""1013.40"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:07.521Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""113.20"",""1006.20"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:08.907Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""162.60"",""1447.20"",""1.58"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:06:09.472Z,""E3"",""Wi-Fi"",""Sí"",""Dentro"",""-0.288358"",""-79.213264"",""102.00"",""147.30"",""1494.00"",""1.58"",""10"",""Aceptada"",""Sí"","""""
